n,m,x,time_frame_pose_x
n_value,m_value,x_value,1728168306.6406295_32_pose_y_2.3994107246398926
n_value,m_value,x_value,1728168306.6406295_32_pose_z_-0.30787724256515503
n_value,m_value,x_value,1728168306.7328622_0_pose_x_0.607998251914978
n_value,m_value,x_value,1728168306.7328622_0_pose_y_0.6304760575294495
n_value,m_value,x_value,1728168306.7328622_0_pose_z_-0.576256275177002
n_value,m_value,x_value,1728168306.7328622_1_pose_x_0.6318720579147339
n_value,m_value,x_value,1728168306.7328622_1_pose_y_0.5919674634933472
n_value,m_value,x_value,1728168306.7328622_1_pose_z_-0.5375161170959473
n_value,m_value,x_value,1728168306.7328622_2_pose_x_0.6444591283798218
n_value,m_value,x_value,1728168306.7328622_2_pose_y_0.5946608781814575
n_value,m_value,x_value,1728168306.7328622_2_pose_z_-0.5373308658599854
n_value,m_value,x_value,1728168306.7328622_3_pose_x_0.657047688961029
n_value,m_value,x_value,1728168306.7328622_3_pose_y_0.5978701114654541
n_value,m_value,x_value,1728168306.7328622_3_pose_z_-0.5373149514198303
n_value,m_value,x_value,1728168306.7328622_4_pose_x_0.592475175857544
n_value,m_value,x_value,1728168306.7328622_4_pose_y_0.5876002907752991
n_value,m_value,x_value,1728168306.7328622_4_pose_z_-0.5378462076187134
n_value,m_value,x_value,1728168306.7328622_5_pose_x_0.5803389549255371
n_value,m_value,x_value,1728168306.7328622_5_pose_y_0.587145209312439
n_value,m_value,x_value,1728168306.7328622_5_pose_z_-0.5371277928352356
n_value,m_value,x_value,1728168306.7328622_6_pose_x_0.5696312189102173
n_value,m_value,x_value,1728168306.7328622_6_pose_y_0.5872571468353271
n_value,m_value,x_value,1728168306.7328622_6_pose_z_-0.5372790098190308
n_value,m_value,x_value,1728168306.7328622_7_pose_x_0.680600643157959
n_value,m_value,x_value,1728168306.7328622_7_pose_y_0.6321877241134644
n_value,m_value,x_value,1728168306.7328622_7_pose_z_-0.2992100417613983
n_value,m_value,x_value,1728168306.7328622_8_pose_x_0.5559083223342896
n_value,m_value,x_value,1728168306.7328622_8_pose_y_0.6168403029441833
n_value,m_value,x_value,1728168306.7328622_8_pose_z_-0.2788908779621124
n_value,m_value,x_value,1728168306.7328622_9_pose_x_0.6325811147689819
n_value,m_value,x_value,1728168306.7328622_9_pose_y_0.6857897043228149
n_value,m_value,x_value,1728168306.7328622_9_pose_z_-0.48694735765457153
n_value,m_value,x_value,1728168306.7328622_10_pose_x_0.5816643834114075
n_value,m_value,x_value,1728168306.7328622_10_pose_y_0.6775508522987366
n_value,m_value,x_value,1728168306.7328622_10_pose_z_-0.48485809564590454
n_value,m_value,x_value,1728168306.7328622_11_pose_x_0.7733384370803833
n_value,m_value,x_value,1728168306.7328622_11_pose_y_0.8957852125167847
n_value,m_value,x_value,1728168306.7328622_11_pose_z_-0.1811572015285492
n_value,m_value,x_value,1728168306.7328622_12_pose_x_0.4434487819671631
n_value,m_value,x_value,1728168306.7328622_12_pose_y_0.8556184768676758
n_value,m_value,x_value,1728168306.7328622_12_pose_z_-0.19999434053897858
n_value,m_value,x_value,1728168306.7328622_13_pose_x_0.8464786410331726
n_value,m_value,x_value,1728168306.7328622_13_pose_y_1.2035070657730103
n_value,m_value,x_value,1728168306.7328622_13_pose_z_-0.19254504144191742
n_value,m_value,x_value,1728168306.7328622_14_pose_x_0.3309405744075775
n_value,m_value,x_value,1728168306.7328622_14_pose_y_1.0211646556854248
n_value,m_value,x_value,1728168306.7328622_14_pose_z_-0.2009463757276535
n_value,m_value,x_value,1728168306.7328622_15_pose_x_0.8098848462104797
n_value,m_value,x_value,1728168306.7328622_15_pose_y_1.4165194034576416
n_value,m_value,x_value,1728168306.7328622_15_pose_z_-0.3717437982559204
n_value,m_value,x_value,1728168306.7328622_16_pose_x_0.3474213182926178
n_value,m_value,x_value,1728168306.7328622_16_pose_y_1.3209477663040161
n_value,m_value,x_value,1728168306.7328622_16_pose_z_-0.5361676812171936
n_value,m_value,x_value,1728168306.7328622_17_pose_x_0.8210554122924805
n_value,m_value,x_value,1728168306.7328622_17_pose_y_1.4978197813034058
n_value,m_value,x_value,1728168306.7328622_17_pose_z_-0.43626031279563904
n_value,m_value,x_value,1728168306.7328622_18_pose_x_0.3290626108646393
n_value,m_value,x_value,1728168306.7328622_18_pose_y_1.3952267169952393
n_value,m_value,x_value,1728168306.7328622_18_pose_z_-0.6222637891769409
n_value,m_value,x_value,1728168306.7328622_19_pose_x_0.7788494825363159
n_value,m_value,x_value,1728168306.7328622_19_pose_y_1.4877640008926392
n_value,m_value,x_value,1728168306.7328622_19_pose_z_-0.46231645345687866
n_value,m_value,x_value,1728168306.7328622_20_pose_x_0.3673449456691742
n_value,m_value,x_value,1728168306.7328622_20_pose_y_1.3888776302337646
n_value,m_value,x_value,1728168306.7328622_20_pose_z_-0.6629985570907593
n_value,m_value,x_value,1728168306.7328622_21_pose_x_0.7690494656562805
n_value,m_value,x_value,1728168306.7328622_21_pose_y_1.453368067741394
n_value,m_value,x_value,1728168306.7328622_21_pose_z_-0.3956795334815979
n_value,m_value,x_value,1728168306.7328622_22_pose_x_0.3797226548194885
n_value,m_value,x_value,1728168306.7328622_22_pose_y_1.3608556985855103
n_value,m_value,x_value,1728168306.7328622_22_pose_z_-0.5682803988456726
n_value,m_value,x_value,1728168306.7328622_23_pose_x_0.6719964742660522
n_value,m_value,x_value,1728168306.7328622_23_pose_y_1.436863660812378
n_value,m_value,x_value,1728168306.7328622_23_pose_z_-0.03318756818771362
n_value,m_value,x_value,1728168306.7328622_24_pose_x_0.4471474289894104
n_value,m_value,x_value,1728168306.7328622_24_pose_y_1.4117286205291748
n_value,m_value,x_value,1728168306.7328622_24_pose_z_0.03800732269883156
n_value,m_value,x_value,1728168306.7328622_25_pose_x_0.6350268125534058
n_value,m_value,x_value,1728168306.7328622_25_pose_y_1.888970136642456
